customer_id,age,tenure_months,num_products,monthly_charges,avg_monthly_gb,support_calls,has_tech_support,paperless_billing,contract_type,internet_service,payment_method,monthly_spend,churn
C00058,51,6,1,61.18,3.9,3,0,1,Month-to-Month,Fiber,Credit Card,50.97,1
C00059,53,1,3,85.1,12.7,1,1,0,Two Year,Fiber,Credit Card,251.66,0
C00060,24,11,4,74.54,22.6,0,1,1,Two Year,DSL,Mailed Check,283.21,0
C00061,50,14,1,26.23,33.3,2,1,1,Month-to-Month,None,Electronic Check,52.55,0
C00062,32,9,1,71.25,10.7,2,1,1,One Year,None,Electronic Check,63.5,0
C00063,69,52,3,100.64,11.6,3,1,0,One Year,Fiber,Credit Card,290.94,0
C00064,49,13,1,65.92,17.6,0,0,1,Two Year,None,Credit Card,64.87,0
C00065,39,9,3,25.2,11.3,0,1,1,Month-to-Month,Fiber,Bank Transfer,80.05,0
C00066,73,23,1,98.63,14.4,0,1,0,Month-to-Month,Fiber,Bank Transfer,88.41,0
C00067,57,4,1,40.14,16.2,2,1,1,Month-to-Month,None,Bank Transfer,35.64,0
C00068,46,48,4,45.86,23.1,1,0,0,Month-to-Month,Fiber,Bank Transfer,176.43,0
C00069,42,2,2,36.47,7.2,1,0,1,Two Year,Fiber,Credit Card,81.64,0
C00070,22,72,3,53.02,11.9,1,1,0,Month-to-Month,Fiber,Bank Transfer,159.21,0
C00071,31,44,1,95.68,23.3,1,0,0,Month-to-Month,Fiber,Mailed Check,98.89,0
C00072,67,6,2,71.94,9.4,1,0,0,One Year,DSL,Electronic Check,131.61,0
C00073,52,1,2,40.49,9.3,0,0,1,One Year,DSL,Bank Transfer,80.08,0
C00074,19,50,2,107.78,4.3,0,1,1,Month-to-Month,Fiber,Mailed Check,187.74,0
C00075,42,36,2,107.96,16.3,1,1,1,Month-to-Month,DSL,Electronic Check,203.6,0
C00076,71,39,2,107.06,16.9,3,1,0,Two Year,None,Credit Card,201.54,0
C00077,33,44,2,43.88,7.9,0,0,1,Month-to-Month,None,Bank Transfer,83.35,0
C00078,63,2,1,65.12,2.1,0,0,1,One Year,Fiber,Credit Card,63.37,0
C00079,33,13,3,118.5,13.0,1,0,0,One Year,None,Electronic Check,332.79,0
C00080,28,3,1,97.2,45.2,0,1,1,Month-to-Month,DSL,Bank Transfer,90.96,0
C00081,77,59,2,22.72,21.2,0,1,1,Two Year,Fiber,Electronic Check,44.85,0
C00082,66,29,1,26.52,12.5,1,0,1,One Year,Fiber,Credit Card,24.87,0
C00083,52,12,2,66.39,15.5,2,1,0,Month-to-Month,Fiber,Electronic Check,125.99,0
C00084,40,1,2,110.92,11.1,0,1,0,One Year,DSL,Bank Transfer,204.64,0
C00085,72,11,1,73.87,4.8,0,0,1,One Year,Fiber,Credit Card,73.96,0
C00086,22,11,1,69.78,11.9,5,0,1,One Year,DSL,Mailed Check,71.33,1
C00087,52,39,1,30.55,10.4,1,1,0,Two Year,Fiber,Credit Card,42.28,0
C00088,46,30,2,85.68,10.2,0,0,0,Month-to-Month,None,Credit Card,156.92,0
C00089,64,65,3,102.21,8.7,0,1,1,Month-to-Month,Fiber,Electronic Check,274.88,0
C00090,72,19,1,58.04,10.3,3,1,1,Month-to-Month,None,Electronic Check,56.27,0
C00091,22,3,2,97.56,5.1,0,1,1,Month-to-Month,None,Electronic Check,178.4,0
C00092,71,37,1,116.45,6.6,2,1,0,Month-to-Month,Fiber,Electronic Check,108.9,1
C00093,20,42,2,40.38,22.9,1,1,1,Two Year,DSL,Credit Card,82.09,0
C00094,23,24,4,72.33,23.3,1,1,0,One Year,Fiber,Credit Card,280.72,0
C00095,40,44,1,48.71,26.2,1,1,0,One Year,None,Electronic Check,64.82,0
C00096,63,20,2,99.29,3.5,2,1,0,One Year,DSL,Mailed Check,189.17,1
C00097,73,22,1,77.76,3.7,1,0,1,Two Year,Fiber,Mailed Check,63.94,0
C00098,19,16,1,83.46,17.2,0,0,1,Month-to-Month,Fiber,Electronic Check,89.51,0
C00099,35,1,1,99.79,11.9,2,1,1,Two Year,Fiber,Mailed Check,108.61,0
C00100,47,3,1,59.6,21.1,1,1,0,Month-to-Month,None,Electronic Check,73.15,0
C00101,55,1,2,111.51,11.0,1,0,0,Two Year,DSL,Mailed Check,202.11,0
C00102,73,30,2,73.3,12.2,3,0,0,One Year,None,Bank Transfer,135.39,0
C00103,22,11,2,35.8,4.6,2,1,0,Month-to-Month,Fiber,Bank Transfer,54.18,0
C00104,63,21,1,89.59,6.8,2,0,1,One Year,Fiber,Electronic Check,94.32,0
C00105,66,71,1,99.33,14.5,4,1,0,Month-to-Month,None,Credit Card,88.83,0
C00106,28,8,2,51.68,21.4,3,1,0,Month-to-Month,Fiber,Bank Transfer,99.89,0
C00107,18,15,4,105.72,35.4,0,1,0,One Year,None,Credit Card,402.76,0
C00108,27,42,1,110.61,13.0,2,0,0,Month-to-Month,Fiber,Mailed Check,107.21,0
C00109,58,7,3,47.69,11.7,1,0,1,Month-to-Month,Fiber,Credit Card,137.53,0
C00110,69,2,2,118.35,18.0,1,0,1,Two Year,DSL,Credit Card,217.42,0
C00111,61,10,2,34.07,22.9,1,0,1,One Year,None,Mailed Check,62.71,1
C00112,43,5,2,40.2,10.1,3,1,1,Two Year,None,Mailed Check,79.14,0
C00113,50,72,1,38.42,14.3,0,1,0,One Year,Fiber,Credit Card,34.68,0
C00114,44,49,1,109.4,12.8,1,0,0,Month-to-Month,Fiber,Bank Transfer,109.02,0
C00115,73,30,2,85.43,5.4,4,0,1,Month-to-Month,DSL,Credit Card,149.34,0
C00116,67,61,1,35.21,11.4,1,0,1,One Year,DSL,Credit Card,36.19,0
C00117,29,48,4,64.03,5.0,2,1,0,Two Year,DSL,Bank Transfer,246.74,0
C00118,19,6,2,81.53,9.3,2,1,0,Month-to-Month,Fiber,Electronic Check,153.15,1
C00119,18,66,1,28.35,5.1,1,1,0,Two Year,None,Electronic Check,21.67,0
C00120,18,23,2,108.24,2.5,1,1,0,Two Year,DSL,Credit Card,200.07,1
C00121,74,49,1,100.36,13.5,4,1,0,One Year,None,Electronic Check,95.94,0
C00122,78,67,2,70.52,10.3,2,1,0,Two Year,DSL,Electronic Check,125.78,0
C00123,50,11,2,116.71,4.9,2,0,1,Month-to-Month,Fiber,Bank Transfer,212.72,0
C00124,39,3,4,61.78,2.2,2,1,0,Two Year,None,Bank Transfer,233.43,0
C00125,29,7,3,118.41,7.6,3,0,0,One Year,DSL,Electronic Check,328.34,0
C00126,56,16,2,86.79,23.9,2,1,1,Month-to-Month,None,Electronic Check,166.72,0
C00127,53,51,2,83.47,7.9,1,0,1,Two Year,None,Mailed Check,144.49,0
C00128,38,59,4,36.6,1.3,2,1,1,Month-to-Month,DSL,Electronic Check,138.28,0
C00129,37,1,1,108.19,19.1,1,0,0,Month-to-Month,DSL,Bank Transfer,110.74,1
C00130,53,21,1,62.75,7.1,2,1,1,One Year,Fiber,Electronic Check,47.01,1
C00131,43,16,1,36.22,7.3,2,0,0,Month-to-Month,Fiber,Credit Card,24.4,1
C00132,64,7,1,21.26,4.8,2,1,1,Month-to-Month,Fiber,Credit Card,34.12,0
C00133,48,3,2,75.98,4.7,2,1,0,Two Year,Fiber,Bank Transfer,141.67,0
C00134,18,12,2,72.74,9.9,2,0,0,Month-to-Month,Fiber,Electronic Check,124.74,1
C00135,55,72,2,91.94,8.7,1,1,1,Month-to-Month,Fiber,Mailed Check,178.94,0
C00136,31,11,1,109.03,17.9,0,1,1,Month-to-Month,Fiber,Mailed Check,116.81,0
C00137,43,21,2,27.94,8.7,2,0,1,Month-to-Month,Fiber,Electronic Check,48.96,0
C00138,63,36,1,93.15,21.6,0,1,0,One Year,Fiber,Credit Card,87.25,0
C00139,59,13,2,38.74,16.0,0,1,0,One Year,Fiber,Mailed Check,78.37,0
C00140,24,72,2,105.82,30.1,2,1,1,Two Year,DSL,Credit Card,206.81,0
C00141,72,72,1,101.91,12.3,1,0,1,One Year,DSL,Electronic Check,96.6,0
C00142,73,8,1,74.08,34.5,0,1,1,Month-to-Month,Fiber,Electronic Check,75.34,0
C00143,72,20,1,91.02,6.7,0,1,1,Two Year,DSL,Credit Card,82.45,0
C00144,71,10,3,51.44,7.6,1,0,0,One Year,None,Bank Transfer,139.29,0
C00145,29,10,4,67.12,14.7,1,1,1,One Year,Fiber,Mailed Check,237.08,0
C00146,41,1,2,102.16,10.0,3,0,0,One Year,DSL,Mailed Check,196.82,0
C00147,36,28,1,65.93,27.4,2,0,0,Two Year,None,Electronic Check,64.55,0
C00148,26,20,2,55.78,14.7,1,1,1,One Year,None,Bank Transfer,118.2,0
C00149,52,1,2,69.42,16.4,1,1,1,Month-to-Month,Fiber,Electronic Check,134.38,0
C00150,21,9,3,102.82,21.1,4,1,0,One Year,DSL,Bank Transfer,283.03,0
C00151,62,71,1,53.52,16.4,2,0,0,Month-to-Month,Fiber,Bank Transfer,59.47,0
C00152,59,8,1,37.38,19.1,1,0,1,Month-to-Month,DSL,Credit Card,42.13,0
C00153,49,4,2,91.2,6.1,1,0,1,Month-to-Month,None,Mailed Check,177.8,0
C00154,63,20,1,102.6,7.6,1,1,0,Month-to-Month,DSL,Electronic Check,113.11,0
C00155,23,72,1,30.06,19.1,0,1,0,Month-to-Month,None,Bank Transfer,39.74,0
C00156,45,8,1,43.99,21.3,3,1,0,Month-to-Month,Fiber,Electronic Check,48.81,0
C00157,79,33,2,34.2,15.1,2,0,1,One Year,None,Electronic Check,81.93,0
C00158,45,43,3,54.79,24.7,0,1,1,Two Year,DSL,Electronic Check,158.64,0
C00159,57,8,4,65.04,18.4,5,1,1,Two Year,Fiber,Mailed Check,239.13,0
C00160,68,39,2,94.88,16.7,0,1,1,Month-to-Month,DSL,Electronic Check,188.98,0
C00161,46,13,2,85.11,16.2,1,0,1,One Year,Fiber,Mailed Check,168.01,0
C00162,59,30,1,82.09,11.8,3,1,0,Two Year,Fiber,Credit Card,75.67,0
C00163,71,30,2,55.24,25.7,1,0,0,Month-to-Month,None,Bank Transfer,114.8,1
C00164,22,23,1,104.14,6.5,2,0,1,One Year,Fiber,Electronic Check,94.22,1
C00165,22,2,2,67.13,12.7,2,0,1,One Year,DSL,Electronic Check,132.02,0
C00166,54,54,1,117.91,15.6,1,0,1,Month-to-Month,Fiber,Bank Transfer,117.95,0
C00167,58,11,1,83.41,15.3,3,0,1,Two Year,Fiber,Credit Card,72.49,0
C00168,78,6,1,32.63,8.0,1,0,1,Two Year,None,Electronic Check,33.7,0
C00169,72,1,1,87.62,7.3,2,0,0,Month-to-Month,Fiber,Credit Card,70.64,0
C00170,45,26,1,52.51,2.1,2,1,0,Month-to-Month,DSL,Mailed Check,36.93,1
C00171,58,33,1,88.63,4.5,2,0,0,Month-to-Month,DSL,Mailed Check,78.07,0
C00172,64,1,4,26.96,2.8,0,1,0,Month-to-Month,DSL,Credit Card,93.68,0
C00173,26,21,2,37.49,9.5,1,0,1,Month-to-Month,None,Bank Transfer,58.55,0
C00174,46,7,2,105.57,11.7,4,1,0,Month-to-Month,DSL,Credit Card,186.38,0
C00175,31,31,3,42.72,8.5,0,1,0,Month-to-Month,Fiber,Mailed Check,107.26,0
C00176,55,5,4,103.7,15.2,1,0,1,Two Year,None,Mailed Check,374.99,0
C00177,79,35,2,47.93,20.0,0,1,0,Month-to-Month,Fiber,Bank Transfer,100.48,0
C00178,71,14,3,84.29,18.0,2,0,1,Month-to-Month,DSL,Electronic Check,248.4,0
C00179,69,72,1,89.42,21.3,4,1,1,Month-to-Month,None,Bank Transfer,99.59,0
C00180,57,4,1,71.27,12.1,3,1,1,Month-to-Month,DSL,Electronic Check,73.66,0
C00181,79,12,2,50.53,5.9,0,0,1,Month-to-Month,None,Electronic Check,96.92,0
C00182,51,3,2,41.26,2.7,1,0,0,Month-to-Month,DSL,Mailed Check,74.77,0
C00183,54,72,2,23.32,31.1,0,0,0,Month-to-Month,None,Bank Transfer,56.73,0
C00184,66,62,1,50.39,5.7,1,0,1,Two Year,None,Credit Card,59.28,0
C00185,59,8,1,85.32,26.6,3,1,1,Two Year,Fiber,Mailed Check,95.04,0
C00186,31,32,2,113.83,8.4,0,1,1,Month-to-Month,Fiber,Bank Transfer,210.69,0
C00187,35,50,1,107.12,10.8,3,0,0,Month-to-Month,DSL,Electronic Check,87.76,0
C00188,50,24,2,96.61,10.9,2,0,1,One Year,DSL,Credit Card,185.18,1
C00189,71,22,2,98.84,20.5,2,0,1,One Year,Fiber,Mailed Check,194.09,0
C00190,51,8,2,86.5,4.7,1,0,1,Month-to-Month,Fiber,Bank Transfer,153.09,0
C00191,45,2,3,46.03,40.5,2,1,0,Two Year,Fiber,Credit Card,146.34,0
C00192,53,68,3,110.72,6.3,1,0,1,One Year,None,Electronic Check,301.03,0
C00193,62,69,2,87.07,17.8,1,1,1,Month-to-Month,DSL,Mailed Check,161.32,0
C00194,65,30,2,76.04,7.9,6,0,1,One Year,Fiber,Credit Card,144.1,0
C00195,54,12,2,31.1,12.0,2,0,0,Two Year,Fiber,Electronic Check,53.33,0
C00196,40,12,1,64.71,6.9,1,1,1,One Year,Fiber,Bank Transfer,78.0,1
C00197,59,38,1,66.04,8.0,2,1,0,Month-to-Month,Fiber,Credit Card,67.69,0
C00198,34,68,1,106.46,24.9,0,0,0,Month-to-Month,Fiber,Electronic Check,107.39,0
C00199,77,65,2,74.66,21.5,0,1,1,Month-to-Month,None,Credit Card,152.81,0
C00200,28,45,2,58.04,5.6,2,1,0,Month-to-Month,None,Credit Card,113.54,0
C00201,49,30,3,117.68,9.9,2,0,1,One Year,Fiber,Bank Transfer,316.73,0
C00202,54,2,1,31.07,15.8,1,1,1,Two Year,Fiber,Electronic Check,31.82,0
C00203,32,5,1,62.25,10.6,0,1,0,One Year,Fiber,Electronic Check,43.03,0
C00204,21,68,4,24.2,10.9,1,0,1,Two Year,DSL,Electronic Check,83.99,0
C00205,56,27,1,93.99,16.6,1,1,1,Month-to-Month,Fiber,Credit Card,98.23,0
C00206,47,1,2,111.81,13.1,0,0,0,Two Year,Fiber,Credit Card,209.27,0
C00207,27,3,2,48.0,13.1,1,0,1,One Year,Fiber,Bank Transfer,89.0,0
C00208,40,32,2,105.83,6.7,0,1,0,Month-to-Month,DSL,Mailed Check,196.62,0
C00209,41,1,1,49.22,11.4,1,1,1,One Year,DSL,Electronic Check,45.74,0
C00210,53,5,1,111.08,13.7,0,1,0,Month-to-Month,DSL,Bank Transfer,95.22,0
C00211,69,23,1,95.4,13.5,5,0,0,One Year,Fiber,Bank Transfer,85.04,0
C00212,75,35,2,100.49,22.5,4,0,0,Month-to-Month,None,Credit Card,210.49,0
C00213,22,31,2,21.8,13.4,3,1,1,Month-to-Month,None,Bank Transfer,44.72,0
C00214,54,7,1,116.28,22.9,1,0,1,One Year,Fiber,Credit Card,115.35,0
C00215,60,37,2,92.67,17.7,1,1,1,One Year,Fiber,Bank Transfer,179.84,0
C00216,36,8,3,50.48,4.8,0,1,0,Month-to-Month,DSL,Bank Transfer,146.53,1
C00217,54,11,1,102.94,10.8,1,1,1,Month-to-Month,Fiber,Mailed Check,96.24,0
C00218,70,41,2,48.15,33.4,3,0,0,Month-to-Month,Fiber,Credit Card,112.25,1
C00219,25,31,2,107.28,19.6,2,0,0,One Year,DSL,Bank Transfer,201.14,0
C00220,24,56,1,31.26,14.7,0,1,1,Two Year,DSL,Mailed Check,35.4,0
C00221,57,32,1,90.37,17.4,1,1,0,Two Year,Fiber,Electronic Check,86.18,0
C00222,30,25,2,74.07,4.9,3,1,0,Month-to-Month,DSL,Electronic Check,141.93,1
C00223,54,2,3,29.65,5.8,2,0,1,One Year,None,Mailed Check,71.9,0
C00224,77,13,3,44.19,5.2,1,1,1,Month-to-Month,Fiber,Electronic Check,123.74,0
C00225,44,9,2,21.24,16.8,2,1,0,One Year,DSL,Electronic Check,51.37,0
C00226,35,8,2,66.88,33.4,1,0,0,Month-to-Month,Fiber,Mailed Check,145.29,0
C00227,41,72,1,50.13,18.6,2,1,0,Month-to-Month,Fiber,Electronic Check,58.79,0
C00228,58,14,2,79.84,11.6,2,1,1,One Year,DSL,Credit Card,142.15,0
C00229,19,66,2,49.72,14.8,0,0,1,Month-to-Month,Fiber,Mailed Check,101.51,0
C00230,33,29,1,49.99,5.3,2,0,1,One Year,Fiber,Bank Transfer,53.56,0
C00231,31,47,2,94.32,18.2,1,1,1,Two Year,Fiber,Electronic Check,184.07,0
C00232,34,20,2,24.81,5.3,1,1,1,Month-to-Month,DSL,Electronic Check,45.39,0
C00233,77,25,1,110.29,4.2,2,1,1,Month-to-Month,DSL,Mailed Check,100.14,1
C00234,23,20,4,105.23,6.0,1,0,0,Two Year,Fiber,Credit Card,389.79,0
C00235,52,6,1,86.78,15.1,1,0,0,One Year,DSL,Bank Transfer,85.67,0
C00236,34,38,1,79.32,15.1,0,1,1,Month-to-Month,Fiber,Electronic Check,71.31,0
C00237,62,9,1,109.23,18.2,1,1,0,Month-to-Month,DSL,Bank Transfer,104.13,0
C00238,55,1,3,38.53,4.8,2,0,1,One Year,Fiber,Electronic Check,118.36,0
C00239,77,31,2,27.9,17.2,1,1,0,One Year,DSL,Credit Card,48.07,0
C00240,57,5,1,43.95,38.3,3,0,1,Month-to-Month,None,Credit Card,69.11,0
C00241,74,72,2,99.46,11.7,2,0,0,Month-to-Month,None,Mailed Check,185.07,0
C00242,78,72,1,23.47,12.9,0,0,0,Two Year,Fiber,Bank Transfer,16.97,0
C00243,23,72,3,78.28,8.3,0,0,1,One Year,None,Credit Card,221.84,0
C00244,77,13,2,119.54,25.7,2,1,1,Two Year,Fiber,Bank Transfer,222.33,0
C00245,65,1,2,105.57,18.0,3,1,1,One Year,None,Bank Transfer,199.78,1
C00246,55,72,4,72.14,14.7,0,1,1,Two Year,Fiber,Credit Card,252.36,0
C00247,66,16,1,26.36,15.5,2,1,1,Month-to-Month,Fiber,Bank Transfer,42.24,0
C00248,38,72,1,103.14,19.5,2,0,1,One Year,Fiber,Bank Transfer,100.22,0
C00249,52,72,2,79.9,16.3,2,1,0,Month-to-Month,Fiber,Credit Card,147.06,0
C00250,40,57,4,31.49,7.1,0,1,0,One Year,DSL,Bank Transfer,118.44,0
C00251,29,10,1,29.39,11.3,2,1,0,Month-to-Month,None,Bank Transfer,39.18,1
C00252,74,14,1,110.96,21.1,2,1,1,Month-to-Month,DSL,Electronic Check,108.9,0
C00253,46,57,1,86.92,8.4,0,1,0,Two Year,DSL,Mailed Check,89.26,0
C00254,44,11,2,102.93,6.8,0,0,1,Two Year,DSL,Electronic Check,188.47,0
C00255,23,5,1,107.9,11.1,1,1,1,Month-to-Month,Fiber,Mailed Check,103.37,1
C00256,38,24,2,77.18,4.4,1,1,1,One Year,Fiber,Mailed Check,134.72,0
C00257,24,72,4,71.74,26.8,1,1,0,Month-to-Month,Fiber,Credit Card,280.12,0
C00258,60,35,2,63.04,17.5,1,0,0,Month-to-Month,Fiber,Bank Transfer,127.59,0
C00259,58,25,1,51.69,4.7,2,1,1,Two Year,Fiber,Bank Transfer,53.26,0
C00260,33,3,2,63.46,26.0,3,1,0,Month-to-Month,Fiber,Electronic Check,135.76,0
C00261,22,28,1,97.39,18.0,1,0,0,Two Year,Fiber,Credit Card,88.26,0
C00262,32,72,3,80.19,10.6,3,1,0,Month-to-Month,Fiber,Bank Transfer,222.38,0
C00263,38,4,2,109.25,10.3,2,0,0,One Year,None,Bank Transfer,210.67,1
C00264,75,21,1,64.34,24.8,3,0,0,One Year,Fiber,Electronic Check,70.03,0
C00265,21,62,2,80.71,16.0,2,0,1,Month-to-Month,DSL,Mailed Check,154.46,0
C00266,22,40,2,83.13,13.5,4,1,1,Month-to-Month,DSL,Bank Transfer,157.34,0
C00267,24,35,2,79.17,15.5,2,0,1,Two Year,DSL,Bank Transfer,154.04,0
C00268,52,36,1,90.26,13.3,1,1,0,One Year,Fiber,Credit Card,72.5,0
C00269,53,13,3,43.74,13.5,1,0,1,Month-to-Month,Fiber,Credit Card,125.8,0
C00270,74,10,4,71.24,15.4,0,0,1,Month-to-Month,Fiber,Credit Card,267.34,0
C00271,32,49,2,30.42,14.4,1,0,0,Month-to-Month,Fiber,Bank Transfer,65.1,0
C00272,45,49,4,58.45,5.3,1,0,0,Month-to-Month,Fiber,Credit Card,225.87,0
C00273,19,60,1,68.77,22.2,3,1,0,Month-to-Month,DSL,Credit Card,68.31,0
C00274,73,72,2,85.22,27.0,1,1,1,Month-to-Month,DSL,Electronic Check,180.08,0
C00275,74,21,2,115.05,13.9,0,0,1,Two Year,DSL,Mailed Check,211.14,0
C00276,22,20,2,80.07,24.2,2,0,1,One Year,Fiber,Electronic Check,145.43,0
C00277,24,48,2,94.36,19.5,0,1,0,Two Year,Fiber,Electronic Check,191.64,0
C00278,39,31,1,70.63,12.9,0,0,1,One Year,None,Electronic Check,78.44,0
C00279,66,36,1,83.41,12.9,2,1,0,Two Year,Fiber,Electronic Check,82.61,0
C00280,48,47,1,27.09,25.7,2,1,0,One Year,DSL,Bank Transfer,32.55,0
C00281,49,66,1,45.44,17.4,1,0,1,One Year,DSL,Mailed Check,47.93,0
C00282,25,12,2,56.19,27.0,1,0,0,Two Year,Fiber,Electronic Check,116.69,0
C00283,58,14,1,67.25,4.9,0,1,1,One Year,Fiber,Bank Transfer,74.08,1
C00284,59,2,1,24.56,10.8,1,0,1,Month-to-Month,DSL,Credit Card,16.97,0
C00285,28,25,2,34.0,5.9,1,0,1,One Year,Fiber,Credit Card,62.47,0
C00286,18,1,2,47.68,20.2,1,0,0,Two Year,Fiber,Bank Transfer,93.82,0
C00287,64,18,3,117.15,3.8,4,1,1,One Year,Fiber,Mailed Check,314.33,0
C00288,57,23,2,53.13,10.0,2,1,1,One Year,Fiber,Electronic Check,95.45,0
C00289,36,10,1,68.2,24.0,2,0,1,One Year,DSL,Electronic Check,86.24,0
C00290,61,26,3,39.61,19.9,1,1,1,Two Year,None,Electronic Check,110.48,0
C00291,55,1,2,81.08,30.1,5,0,1,Month-to-Month,Fiber,Mailed Check,162.07,1
C00292,59,1,1,48.07,10.3,1,1,1,One Year,None,Credit Card,38.97,0
C00293,73,51,2,40.7,11.7,3,0,0,Month-to-Month,None,Electronic Check,86.05,0
